,link,status,title
104,http://shooter.zimuku.net/download/NjQ2NzB8Wm9kaWFjX0NuRW5fU1VCX0RpQU1PTkRfWVRFVC5yYXI%3D,True,Zodiac_CnEn_SUB_DiAMOND_YTET
105,http://shooter.zimuku.net/download/NjQ1OTN8X19fX19fX19fX19fX19fTGlsb19hbmRfU3RpdGNoXzIwMDJfRFZEUmlwX0RpdlhfUkZ0QS5yYXI%3D,True,[星际宝贝].Lilo.and.Stitch.2002.DVDRip.DivX-RFtA
106,http://shooter.zimuku.net/download/NjQ1ODh8X19fX19fX19fX19fX19fTGlsb19hbmRfU3RpdGNoXzIwMDJfRFZEUmlwX0RpdlhfUkZ0QS5yYXI%3D,True,[星际宝贝].Lilo.and.Stitch.2002.DVDRip.DivX-RFtA
107,http://shooter.zimuku.net/download/NjQ1ODd8QS1kZXVsLURpRGFLZS5DaHNTdWIlNDBUTEYucmFy,True,My Son
108,http://shooter.zimuku.net/download/NjQ1ODV8JUU4JTlDJTk4JUU4JTlCJTlCJUU0JUJFJUEwMytTcGlkZXJtYW4uMy4yMDA3LlI1RFZELkxJTkUuWHZpRC1WaVNVQUwucmFy,True,Spiderman.3
109,http://shooter.zimuku.net/download/NjQ4MjV8RGlzY292ZXJ5LVVuZGlzY292ZXJlZC5XYWx0LkRpc25leS5Xb3JsZC43MjBwLkhEVFYueDI2NC5ERDUuMS1GdDRVLmNocy5yYXI%3D,True,Discovery-Undiscovered Walt Disney World
110,http://shooter.zimuku.net/download/NjUzMDh8X19fX19fX19fX19fX19fX19fX19fX19fX19fX19fX19fX19fX19fXy5yYXI%3D,True,張震嶽&蔡健雅 - 思念是一種病
111,http://shooter.zimuku.net/download/NjQ1ODZ8Wm9kaWFjLURpQU1PTkQlNDBUTEYucmFy,True,Zodiac
112,http://shooter.zimuku.net/download/NjQ3Mjh8MDcuMTEuMDcuVW5zdG9wcGFibGUuTWFycmlhZ2UuMjAwNy5EVkRSaXAuWHZpRC5BQzMuMkNILTRSaUxMYSU0MEZSTS5yYXI%3D,True,07.11.07.Unstoppable.Marriage.2007.DVDRip.XviD.AC3.2CH-4RiLLa@FRM
113,http://shooter.zimuku.net/download/NjQ1ODR8cmlwc2lyLW1nYi5yYXI%3D,True,My.Girls.Boy.2007.DVDRiP.AC3.X264.iNT-RiPSiR我女友的男朋友
114,http://shooter.zimuku.net/download/NjQ1ODN8UmFzaG9tb24uMTk1MC5pTlRFUk5BTC5EVkRSaXAuWHZpRC1XUkQucmFy,True,Rashomon
115,http://shooter.zimuku.net/download/NjQ1ODJ8ZG1kLWF3ZHkucmFy,True,Are We Done Yet?
