,link,title,status
94,http://shooter.zimuku.net/download/MjYzOTM5fCVFNSU5QyVCMCVFNyU5MCU4MyVFNSU5QiU5RSVFNSVBMyVCMC5yYXI%3D,Earth To Echo,0
95,http://shooter.zimuku.net/download/MjYzOTM4fE1hcnZlbHNfQWdlbnRzX29mX1NfSF9JX0VfTF9EX1MwMkUwNF9IRFRWX3gyNjRfS0lMTEVSU19ZVEVUX1lEWS5yYXI%3D,Marvels_Agents_of_S_H_I_E_L_D_S02E04_HDTV_x264_KILLERS_YTET_YDY,0
96,http://shooter.zimuku.net/download/MjYzOTM3fF9fX19fX19fX19fX19fX19Cb3JnaWFfUzAxRTAxX0UxMl9DaGlfRnJhX19fX19fX19fX19fX19fXy5yYXI%3D,波吉亚家族.Borgia,0
97,http://shooter.zimuku.net/download/MjYzOTM2fFRoZS5XYWxraW5nLkRlYWQuUzA1RTAxLjEwODBwLldFQi1ETC5ERDUuMS5ILjI2NC1DeXBoYW5peC5yYXI%3D,行尸走肉第五季第1集,0
98,http://shooter.zimuku.net/download/MjYzOTM1fEdBLlYxLk5DSVMuUzEyRTA0LlJBUg%3D%3D,S12E04 GA初校版,0
99,http://shooter.zimuku.net/download/MjYzOTM0fFNvZmlhLnRoZS5GaXJzdC5TMDFFMDguVGhlLlByaW5jZXNzLlRlc3QuMTA4MHAuV0VCLURMLkFBQzIuMC5ILjI2NC1CUy56aXA%3D,小公主苏菲亚S01E08,0
100,http://shooter.zimuku.net/download/MjYzOTMzfEZpbmFsLkV4YW0uMTk4MS43MjBwLkJsdVJheS54MjY0LllJRlkuemlw,期末考试,0
101,http://shooter.zimuku.net/download/MjYzOTMyfEZhdGUrc3RheStuaWdodCtVQlcrLSswMS5DaHMlMjZKYXAucmFy,Fate stay night UBW - 01.Chs&Jap,0
102,http://shooter.zimuku.net/download/MjYzOTMwfE55YXJ1a28uemlw,Nyaruko,0
103,http://shooter.zimuku.net/download/MjYzOTI5fENvZGVfR2Vhc3Muemlw,Code_Geass,0
104,http://shooter.zimuku.net/download/MjYzOTI4fDEwLjE1LjE0LkdyYW50Y2hlc3Rlci5TMDFFMDIlNDBQTFgucmFy,神探牧师 第一季第2集【破烂熊出品】,0
105,http://shooter.zimuku.net/download/MjYzOTI2fFRoZV9XYWxraW5nX0RlYWRfX19fX19fX19fX19fX1MwNUUwMV8xMDgwcF9XRUIuemlw,The.Walking.Dead.行尸走肉.S05E01.1080p.WEB,0
106,http://shooter.zimuku.net/download/MjYzOTI0fCVFOCU4MCU4MSVFNyU4OCVCOCVFOCU4MCU4MSVFNSVBNiU4OCVFNyU5QSU4NCVFNiVCNSVBQSVFNiVCQyVBQiVFNSU4RiVCMislRTclQUMlQUMxJUU1JUFEJUEzJUU3JUFDJUFDMSVFOSU5QiU4NiVFNSU5MiU4QyVFNyVBQyVBQzIlRTklOUIlODZ1bmN1dCVFNyU4OSU4OCVFNiU5QyVBQy5yYXI%3D,老爸老妈的浪漫史 第1季第1集和第2集uncut版本,0
